Port Name,State,Port Code,Border,Date,Measure,Value
Warroad,Minnesota,3423,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,133
Warroad,Minnesota,3423,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,298
Warroad,Minnesota,3423,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,10383
Warroad,Minnesota,3423,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,19459
Warroad,Minnesota,3423,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,2
Warroad,Minnesota,3423,US-Canada Border,06/01/2019 12:00:00 AM,Buses,3
Warroad,Minnesota,3423,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,63
Roseau,Minnesota,3426,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,290
Roseau,Minnesota,3426,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,110
Roseau,Minnesota,3426,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,182
Roseau,Minnesota,3426,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,3964
Roseau,Minnesota,3426,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,7385
Roseau,Minnesota,3426,US-Canada Border,06/01/2019 12:00:00 AM,Buses,4
Roseau,Minnesota,3426,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,118
Detroit,Michigan,3801,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,599521
Detroit,Michigan,3801,US-Canada Border,06/01/2019 12:00:00 AM,Buses,615
Detroit,Michigan,3801,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,6274
Del Rio,Texas,2302,US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,14898
Del Rio,Texas,2302,US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,123068
Del Rio,Texas,2302,US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,238721
Anacortes,Washington,3010,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,3438
Anacortes,Washington,3010,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,8348
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,13337
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,10799
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,3390
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Trains,10
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,30
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,98
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,246
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,77972
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,135620
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,5515
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Buses,24
Sumas,Washington,3009,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,413
Port Angeles,Washington,3007,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,57
Port Angeles,Washington,3007,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,26
Port Angeles,Washington,3007,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,31
Port Angeles,Washington,3007,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,7563
Port Angeles,Washington,3007,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,18227
Port Angeles,Washington,3007,US-Canada Border,06/01/2019 12:00:00 AM,Buses,13
Port Angeles,Washington,3007,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,156
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,1135
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,328
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,808
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,86044
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,134013
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,3109
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Buses,24
Point Roberts,Washington,3017,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,624
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,2630
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,1766
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,909
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,20221
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,36210
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,472
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Buses,5
Oroville,Washington,3019,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,201
Nighthawk,Washington,3011,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,640
Nighthawk,Washington,3011,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,1110
Nighthawk,Washington,3011,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,2
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,431
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,27
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,409
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2428
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,4863
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,1
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Buses,7
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,3323
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,627
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,2730
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,54001
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,105375
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,100
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Buses,3
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,139
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,492
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,113
